id;prompt;category
2;Player with the longest beard;appearance
3;Shortest player at the table;appearance
8;Player wearing the most colors;appearance
12;Player with the longest hair;appearance
21;Last player who had a haircut;appearance
58;Player whose shoe size is largest;appearance
101;Last player who talked to themselves and got caught;chaos
102;Player who most recently Googled something embarrassing;chaos
103;Last player who tripped over nothing;chaos
104;Player who most recently sent a message to the wrong person;chaos
105;Last player who laughed at their own joke before finishing it;chaos
106;Player who most recently forgot why they walked into a room;chaos
107;Last player who waved back at someone who wasn't waving at them;chaos
108;Player who most recently said 'you too' when told to enjoy their meal;chaos
109;Last player who called a teacher 'mom' or 'dad';chaos
110;Player with the most expired items in their bag right now;chaos
111;Last player who confidently walked in the wrong direction and kept going anyway;chaos
112;Player who most recently dropped their phone on their face in bed;chaos
113;Last player who replied 'I'm on my way' while still at home;chaos
114;Player who pushed a 'pull' door the hardest before reading the sign;chaos
115;Last player who auto-corrected into something mortifying;chaos
116;Player who most recently fell asleep somewhere weird;chaos
117;Last player who tried to unlock someone else's car by mistake;chaos
118;Player who most recently talked during a movie they'd already seen;chaos
119;Last player who Googled a word they definitely should know;chaos
120;Player who most recently walked into a glass door or window;chaos
121;Last player who accidentally liked an old photo while stalking someone's profile;chaos
122;Player who most recently set an alarm and slept through it anyway;chaos
123;Last player who forgot a name mid-introduction;chaos
124;Player who most recently said goodbye and then walked the same direction as the other person;chaos
125;Last player who tried to pay with an empty card;chaos
126;Player who most recently wore something inside out all day without noticing;chaos
127;Last player who yelled at a buffering screen;chaos
128;Player who most recently ordered the wrong thing and ate it anyway out of shame;chaos
129;Last player who gave extremely confident directions that were completely wrong;chaos
130;Player who most recently searched for their phone while it was in their hand;chaos
131;Last player who started a story and completely forgot the point;chaos
132;Player who most recently rehearsed an argument in the shower;chaos
133;Last player who apologized to furniture they bumped into;chaos
135;Last player who put the milk in the cabinet and the cereal in the fridge;chaos
137;Last player who confidently answered a question and was spectacularly wrong;chaos
139;Last player who read a whole page and absorbed absolutely nothing;chaos
140;Player who most recently had a full conversation and couldn't remember a word of it;chaos
141;Last player who bought something 'on sale' they didn't need and called it saving money;chaos
142;Player who most recently looked for something while someone else found it immediately;chaos
165;Last player who checked the time and immediately forgot what it was;chaos
166;Player who most recently had a full debate with a self-checkout machine;chaos
169;Last player who said 'I'll remember that' and did not remember that;chaos
170;Player who most recently fell asleep while replying to a message;chaos
171;Last player who used 'I was just about to do that' as a defence;chaos
172;Player who most recently opened an app forgot why closed it and reopened it;chaos
174;Player who most recently took a nap that became a full sleep;chaos
175;Last player who tried to parallel park and gave up;chaos
176;Player who most recently called something 'basically the same thing' when it clearly wasn't;chaos
178;Player who most recently said 'I'm almost ready' and wasn't even close;chaos
179;Last player who made a bold prediction in front of witnesses and was catastrophically wrong;chaos
181;Last player who watched a tutorial and still couldn't figure it out;chaos
182;Player who most recently said 'I'll start fresh on Monday' on a Thursday;chaos
187;Last player who convinced themselves they'd remember something without writing it down — and didn't;chaos
189;Last player who dramatically said 'I'm going to bed' and was back 10 minutes later;chaos
190;Player who most recently used 'I meant to do that' after clearly not meaning to;chaos
192;Player who most recently discovered food in their pocket they had forgotten about;chaos
193;Last player who looked at the time on their phone and immediately picked it up again to check;chaos
196;Player who most recently narrated their own actions out loud while alone;chaos
199;Last player who said 'let me check real quick' and disappeared for 20 minutes;chaos
13;Last person who visited a museum;culture
15;Last player who read a book;culture
47;Last player who learned something new;culture
51;Last player who painted or drew something;culture
88;Player who most recently visited a library;culture
89;Last player who bought a book;culture
10;Player who woke up earliest today;daily life
14;Player who most recently bought something online;daily life
18;Player with the most steps today;daily life
19;Last player who took a photo;daily life
22;Player who most recently stayed up past midnight;daily life
34;Player with the oldest item in their pocket or bag;daily life
38;Player with the most unread messages;daily life
43;Last player who fixed something broken;daily life
44;Player with the most apps on their phone;daily life
46;Player who woke up latest today;daily life
57;Last player who climbed stairs instead of taking the elevator;daily life
61;Last player who overslept;daily life
62;Player with the most keys on their keychain;daily life
66;Player who has the most photos on their phone;daily life
70;Player with the earliest alarm set for tomorrow;daily life
76;Player with the most tabs open in their browser;daily life
82;Player who most recently had a nightmare;daily life
86;Player with the fewest social media accounts;daily life
90;Player who most recently got a parking ticket;daily life
93;Last player who made a phone call (not a message);daily life
95;Last player who sat on the floor;daily life
97;Last player who went to bed after 2am;daily life
7;Last player who watched a movie;entertainment
25;Last player who cried at a movie;entertainment
84;Player who watched the most episodes of a show this week;entertainment
134;Player who most recently binge-watched something they weren't even enjoying;entertainment
138;Player who most recently fell asleep during a movie they chose;entertainment
143;Last player who asked 'what are we watching?' and then stared at their phone the whole time;entertainment
167;Last player who gave an overly confident opinion on a film they watched on 1.5x speed;entertainment
198;Player who most recently spent longer choosing what to watch than actually watching anything;entertainment
30;Player with the most siblings;family
54;Player with the most pets;family
68;Player who most recently visited their grandparents;family
5;Last player who cooked a meal;food
11;Last player who ate pizza;food
23;Last player who ate breakfast;food
29;Last player who drank coffee;food
31;Last player who tried a new restaurant;food
39;Last player who baked something;food
53;Last player who ordered food delivery;food
73;Last player who burned food while cooking;food
75;Last player who went to a farmer's market;food
91;Last player who tried a food they had never eaten before;food
136;Player who most recently stress-ate something from the back of the fridge;food
156;Player who most recently ate something off the floor after the 3-second rule expired;food
157;Last player who made a recipe 'their own' by ignoring all the instructions;food
158;Player who most recently called cereal a legitimate dinner;food
159;Last player who finished someone else's leftovers and pretended not to know what happened;food
160;Player who most recently ate snacks in bed and denied it;food
161;Last player who confidently mispronounced a menu item at a restaurant;food
162;Player who most recently burnt toast and ate it anyway;food
163;Last player who said 'I'm not even hungry' and then ate the most;food
164;Player who most recently looked in the fridge found nothing and checked again 3 minutes later;food
9;Last player who lost a game;gaming
28;Player who owns the most board games;gaming
48;Player who has played this game the most times;gaming
55;Last player who played a video game;gaming
71;Last player who played a card game;gaming
92;Player with the most board game losses this month;gaming
